keyword,clicks,impressions,position,prev_month_position,found_by
黃金買賣,0,38,28.736842105263158,23.627027027027026,bulk
買金條,0,6,12.666666666666666,9.736263736263735,bulk
賣黃金,0,79,12.126582278481013,10.767676767676768,bulk
金塊,0,62,12.483870967741936,12.493865030674847,bulk
金磚,0,2,4.5,8.246882793017456,bulk
小金豆,3,487,2.028747433264887,10.688073394495413,bulk
金豆,1,266,4.860902255639098,20.459302325581394,bulk
金粒,0,47,26.361702127659573,29.178947368421053,bulk
金磚價格,2,14,1.6428571428571428,1.6818181818181817,bulk
切料金塊,0,3,1,1.0689655172413792,bulk
黃金哪裡買,0,22,3.772727272727273,4.433734939759036,bulk
金條去哪買,0,68,4.5588235294117645,7.27710843373494,bulk
黃金現貨,0,1,71,74,bulk
金條現貨,0,0,0.0,0.0,exact
黃金金磚,1,3,2,2.3600000000000003,bulk
純金,0,0,0.0,1.3076923076923077,exact
足金,0,0,0.0,0.0,exact
24K金,0,24,1.0833333333333333,9.820512820512821,bulk
4N黃金,0,1,2,1.7916666666666665,bulk
黃金5兩,0,2,1,4.9350649350649345,bulk
黃金100克,0,9,6,2.730769230769231,bulk
黃金500克,1,9,2.333333333333333,1.5771428571428572,bulk
1公斤黃金,1,64,4.828125,5.365591397849462,bulk
黃金磚,0,20,1.9,2.0288461538461537,bulk
黃金條塊,0,9,54.333333333333336,39.30434782608695,bulk
黃金條塊價格,0,8,3.75,6.722222222222222,bulk
黃金銀樓,0,0,0.0,4.315789473684211,exact
今日黃金價格,0,87,9.793103448275861,21.227848101265824,bulk
台灣銀行黃金價格走勢,0,0,0.0,31.133333333333333,exact
買金幣,0,6,3.1666666666666665,3.1578947368421053,bulk
金幣買賣,0,7,4.428571428571429,3.282051282051282,bulk
楓葉金幣買賣,0,1,1,9.333333333333334,bulk
王鼎貴金屬,0,95,9.673684210526316,10.299880525686977,bulk
黃金1盎司多少錢,0,38,1.7105263157894737,12.272517321016167,bulk
台灣銀行黃金價格,0,5,8.2,15.273684210526316,bulk
國際金條,0,5,8.8,10.560283687943262,bulk
楓葉金幣台灣銀行,0,6,4.333333333333334,10.8,bulk
黃金100克多少錢,0,26,12.23076923076923,9.935153583617748,bulk
金元寶,0,0,0.0,10.813953488372093,exact
瑞士金條台灣銀行,1,23,8.347826086956522,9.951327433628318,bulk
黃金購買,3,57,6.350877192982456,8.380434782608695,bulk
小金條哪裡買,0,4,10.25,10.385714285714286,bulk
黃金貴金屬,0,43,9.209302325581396,9.94789081885856,bulk
中華民國建國六十年紀念金幣,1,3,1,7.5,bulk
台灣黃金工廠,0,10,6.6,6.537634408602151,bulk
美國金幣,0,6,6,8.302816901408452,bulk
國際金條品牌,0,47,12.191489361702128,11.195121951219512,bulk
贵金属,0,56,7.410714285714286,8.51980198019802,bulk
黃金用途,2,15,7.6,7.861538461538461,bulk
1盎司黃金多少台幣,0,129,1.2248062015503876,10.702635914332784,bulk
一盎司黃金多少錢,1,271,1.4095940959409594,9.193010580314203,bulk
美泰樂貴金屬香港有限公司,0,4,11,6.966666666666667,bulk
熊貓金幣價格,1,14,2.428571428571429,3.282608695652174,bulk
國際貴金屬,2,59,5.593220338983051,7.1230283911671926,bulk
紀念金幣回收,0,9,7.888888888888889,8.372340425531915,bulk
加拿大楓葉金幣1盎司,1,10,10,7.072289156626506,bulk
truney 貴金屬交易中心,0,125,7.832,7.910579345088161,bulk
台銀黃金條塊售價,1,286,5.9475524475524475,5.074421965317919,bulk
澳洲金幣價格,1,17,8.352941176470587,7.369230769230769,bulk
買金塊,0,7,9.857142857142858,8.355263157894736,bulk
楓葉金幣哪裡買,7,59,2.101694915254237,3.7960526315789473,bulk
黃金金幣,0,11,5.636363636363637,5.169491525423729,bulk
金条,1,16,12.875,7.866028708133971,bulk
金幣哪裡買,0,16,1.9375,2.95,bulk
袋鼠金幣價格,1,33,7.181818181818182,7.0131578947368425,bulk
景福五兩金條,0,32,1,7.824468085106383,bulk
倫敦黃金交易所,1,11,8.727272727272727,8.465116279069768,bulk
台灣銀行金幣價格,1,76,2.6578947368421053,3.396265560165975,bulk
澳洲袋鼠金幣價格,0,14,7.928571428571429,6.459677419354839,bulk
金條購買,0,4,7,6.363636363636363,bulk
貴金屬交易中心ptt,0,23,8.217391304347826,7.02542372881356,bulk
金條哪裡買,1,70,9.257142857142858,7.3017621145374445,bulk
國際黃金價格,0,2687,5.1540751767770745,5.980965028773793,bulk
1oz黃金多少錢,0,14,1,7.46218487394958,bulk
一盎司黃金多少克,1,123,2.154471544715447,6.152325581395349,bulk
景福金條5兩,0,4,10,8.458333333333332,bulk
黃金國際牌價,0,0,0.0,10,exact
景福5兩金條,0,1,8,6.608695652173913,bulk
黃金一盎司,0,3,2,5.122222222222222,bulk
香港金條,0,3,4.666666666666666,6.17948717948718,bulk
五兩黃金多少錢,0,194,4.041237113402062,5.53044002411091,bulk
袋鼠金幣台灣銀行,0,39,4.153846153846153,6.432160804020101,bulk
台銀ubs金條,1,8,1,5.686746987951807,bulk
黃金白銀存摺,0,1,8,6.571428571428571,bulk
argor heraeus黃金,0,1,1,5.2592592592592595,bulk
鴻運金幣,0,9,11.333333333333334,7.088235294117647,bulk
黃金放哪安全,0,16,8.6875,8.934782608695652,bulk
黃金單位換算,0,5,1,3.188340807174888,bulk
黃金5兩多少錢,0,60,3.0166666666666666,5.392988929889299,bulk
黃金幣,0,13,6.615384615384615,5.63013698630137,bulk
